player_name,competition_id,season_id,minutes,shots_faced,shots_saved,goals_conceded,save_pct,shots_faced_p90,sweeper_actions,avg_distance_from_goal,max_distance_from_goal,sweeper_actions_p90,total_passes,pass_success_pct,avg_pass_length,long_ball_pct,source
Aaron Ramsdale,900001,900001,2700,189,123,66,65.1,6.300000000000001,,,,,,,,,fbref
Alex McCarthy,900001,900001,450,37,24,13,64.9,7.4,,,,,,,,,fbref
Alex Palmer,900001,900001,1170,75,45,30,60,5.769230769230768,,,,,,,,,fbref
Alisson,900001,900001,2508,106,74,29,72.6,3.8038277511961724,,,,,,,,,fbref
Alphonse Areola,900001,900001,2260,121,80,41,66.1,4.818584070796461,,,,,,,,,fbref
Altay Bayındır,900001,900001,360,18,8,10,44.4,4.5,,,,,,,,,fbref
André Onana,900001,900001,3060,129,88,44,65.9,3.794117647058824,,,,,,,,,fbref
Antonín Kinský,900001,900001,540,35,24,11,68.6,5.833333333333333,,,,,,,,,fbref
Arijanet Muric,900001,900001,1620,103,70,33,68,5.722222222222222,,,,,,,,,fbref
Bart Verbruggen,900001,900001,3240,140,89,58,58.6,3.888888888888889,,,,,,,,,fbref
Bernd Leno,900001,900001,3420,158,107,54,65.8,4.157894736842105,,,,,,,,,fbref
Brandon Austin,900001,900001,90,4,2,2,50,4,,,,,,,,,fbref
Caoimhín Kelleher,900001,900001,900,37,24,12,67.6,3.7,,,,,,,,,fbref
Christian Walton,900001,900001,630,39,20,19,51.3,5.571428571428571,,,,,,,,,fbref
Daniel Bentley,900001,900001,180,12,8,4,66.7,6,,,,,,,,,fbref
Danny Ward,900001,900001,135,10,4,6,40,6.666666666666666,,,,,,,,,fbref
David Raya,900001,900001,3420,120,86,34,71.7,3.1578947368421053,,,,,,,,,fbref
Dean Henderson,900001,900001,3420,152,102,51,66.4,4,,,,,,,,,fbref
Ederson Moraes,900001,900001,2320,80,54,26,67.5,3.103448275862069,,,,,,,,,fbref
Emiliano Martínez,900001,900001,3194,146,99,47,67.8,4.113963681903569,,,,,,,,,fbref
Filip Jørgensen,900001,900001,540,29,20,9,69,4.833333333333333,,,,,,,,,fbref
Fraser Forster,900001,900001,630,42,28,15,64.3,6,,,,,,,,,fbref
Guglielmo Vicario,900001,900001,2160,105,68,37,64.8,4.375,,,,,,,,,fbref
Hákon Valdimarsson,900001,900001,145,5,3,2,60,3.103448275862069,,,,,,,,,fbref
Jakub Stolarczyk,900001,900001,900,44,28,16,63.6,4.4,,,,,,,,,fbref
Jason Steele,900001,900001,180,4,3,1,75,2,,,,,,,,,fbref
Joe Lumley,900001,900001,270,20,13,7,65,6.666666666666666,,,,,,,,,fbref
Jordan Pickford,900001,900001,3420,163,119,44,73,4.2894736842105265,,,,,,,,,fbref
José Sá,900001,900001,2609,117,69,48,59,4.036029129934841,,,,,,,,,fbref
Kepa Arrizabalaga,900001,900001,2790,136,97,39,71.3,4.387096774193549,,,,,,,,,fbref
Mads Hermansen,900001,900001,2385,160,102,58,63.8,6.037735849056604,,,,,,,,,fbref
Mark Flekken,900001,900001,3275,207,152,55,73.4,5.688549618320611,,,,,,,,,fbref
