,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38.0,34,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,35.5,47,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,6,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31.0,39,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,1999,5.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,2001,1.6,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,36.4,55,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,58,9,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,9,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,34,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38.0,51,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,1994,38.0,44,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38.0,54,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13.0,30,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18.0,33,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,1995,7.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31,1993,1.5,6,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Jakub Stolarczyk,POL,GK,23,2000,10.0,16,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24,2000,26.5,58,3,,,,,,,,,,,,,,,,,,,,,,,
