,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,2,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,39,9,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,7,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,6,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,10,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,14,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36.0,30,5,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25,1999,15.5,18,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,7.5,9,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,34,1990,15.0,12,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997,4.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,37,1987,34.0,48,3,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Espanyol,Joan García,ESP,GK,23,2001,38.0,51,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Getafe,David Soria,ESP,GK,31,1993,38.0,39,8,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Girona,Pau López,ESP,GK,29,1994,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Girona,Paulo Gazzaniga,ARG,GK,32,1992,35.5,51,2,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Girona,Vladyslav Krapyvtsov,UKR,GK,19,2005,2.0,7,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,25,1999,12.1,19,1,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Las Palmas,Jasper Cillessen,NED,GK,35,1989,25.9,42,4,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Leganés,Juan Soriano,ESP,GK,26,1997,6.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
