,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Angers,Melvin Zinga,FRA,GK,22,2002,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23,2000,33.0,51,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31,1992,32.0,48,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Auxerre,Théo De Percin,MTQ,GK,23,2001,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Brest,Grégoire Coudert,FRA,GK,25,1999,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Brest,Marco Bizot,NED,GK,33,1991,32.0,54,8,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Le Havre,Arthur Desmas,FRA,GK,30,1994,18.0,38,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Le Havre,Mathieu Gorgelin,FRA,GK,33,1990,16.0,33,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Brice Samba,FRA,GK,30,1994,15.0,14,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,27,1996,5.0,8,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,32,1992,14.0,17,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,22,2001,34.0,36,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,26,1997,33.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32,1992,34.0,47,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,26,1998,19.0,19,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,24,1999,15.0,22,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,33,1991,30.0,68,6,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26,1998,4.0,11,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Nantes,Alban Lafont,CIV,GK,25,1999,12.0,19,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Nantes,Anthony Lopes,POR,GK,33,1990,17.4,26,4,,,,,,,,,,,,,,,,,,,,,,,
