,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15.0,32,3,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8.0,12,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,31,1993,21.0,46,3,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31,1993,13.0,22,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33,1991,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26,1997,32.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Frankfurt,Kauã Santos,BRA,GK,21,2003,8.5,12,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Frankfurt,Kevin Trapp,GER,GK,34,1990,25.5,34,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,26,1997,8.4,16,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22,2002,25.6,37,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,30,1994,10.9,29,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,26,1997,18.2,25,5,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,18,2006,4.2,3,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,36,1988,0.7,3,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,20,2004,1.3,0,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,33,1991,32.7,64,6,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Hoffenheim,Luca Philipp,GER,GK,23,2000,6.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
