,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34.0,34,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24,1999,11.7,14,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33,1991,26.3,33,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26,1997,6.9,11,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22,2001,18.0,22,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28,1996,13.0,23,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27,1997,8.0,18,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29,1995,18.5,20,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,41,1982,11.5,14,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26,1998,32.0,45,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,19,2005,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,33,1991,5.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,33,1990,35.0,38,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,34,1990,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,32,1992,1.7,2,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Daniele Sommariva,ITA,GK,27,1997,0.3,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,31,1993,29.0,31,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,29,1995,7.0,15,3,,,,,,,,,,,,,,,,,,,,,,,
